r,psi
5.772549019607843057e+00,9.833232997562898481e-01
5.803921568627450789e+00,9.835294077745752039e-01
5.835294117647058521e+00,9.837315241539236199e-01
5.866666666666666252e+00,9.839297521682243142e-01
5.898039215686274872e+00,9.841241919015558670e-01
5.929411764705882604e+00,9.843149403572043488e-01
5.960784313725490335e+00,9.845020915624719260e-01
5.992156862745098067e+00,9.846857366703842818e-01
6.023529411764705799e+00,9.848659640571723051e-01
6.054901960784313530e+00,9.850428594163316287e-01
6.086274509803921262e+00,9.852165058497295291e-01
6.117647058823528994e+00,9.853869839548154985e-01
6.149019607843136725e+00,9.855543719092147992e-01
6.180392156862745345e+00,9.857187455521351227e-01
6.211764705882353077e+00,9.858801784625895737e-01
6.243137254901960809e+00,9.860387420353569077e-01
6.274509803921568540e+00,9.861945055538251514e-01
6.305882352941176272e+00,9.863475362601951124e-01
6.337254901960784004e+00,9.864978994236437426e-01
6.368627450980391735e+00,9.866456584054851264e-01
6.400000000000000355e+00,9.867908747224165555e-01
6.431372549019608087e+00,9.869336081074402411e-01
6.462745098039215819e+00,9.870739165683702909e-01
6.494117647058823550e+00,9.872118564446963340e-01
6.525490196078431282e+00,9.873474824621458756e-01
6.556862745098039014e+00,9.874808477852253796e-01
6.588235294117646745e+00,9.876120040683405987e-01
6.619607843137254477e+00,9.877410015046277358e-01
6.650980392156862209e+00,9.878678888733647412e-01
6.682352941176470829e+00,9.879927135857049514e-01
6.713725490196078560e+00,9.881155217285685355e-01
6.745098039215686292e+00,9.882363581073448922e-01
6.776470588235294024e+00,9.883552662868868577e-01
6.807843137254901755e+00,9.884722886309817991e-01
6.839215686274509487e+00,9.885874663408033003e-01
6.870588235294117219e+00,9.887008394916441123e-01
6.901960784313725839e+00,9.888124470685785150e-01
6.933333333333333570e+00,9.889223270009267486e-01
6.964705882352941302e+00,9.890305161953031332e-01
6.996078431372549034e+00,9.891370505678068747e-01
7.027450980392156765e+00,9.892419650749456617e-01
7.058823529411764497e+00,9.893452937434050742e-01
7.090196078431372229e+00,9.894470696990896874e-01
7.121568627450979960e+00,9.895473251948733173e-01
7.152941176470587692e+00,9.896460916375315886e-01
7.184313725490196312e+00,9.897433996138329526e-01
7.215686274509804043e+00,9.898392789155280314e-01
7.247058823529411775e+00,9.899337585637241199e-01
7.278431372549019507e+00,9.900268668323206622e-01
7.309803921568627239e+00,9.901186312705624326e-01
7.341176470588234970e+00,9.902090787250760195e-01
7.372549019607842702e+00,9.902982353609368626e-01
7.403921568627451322e+00,9.903861266820996878e-01
7.435294117647059053e+00,9.904727775512534027e-01
7.466666666666666785e+00,9.905582122088074648e-01
7.498039215686274517e+00,9.906424542914392672e-01
7.529411764705882248e+00,9.907255268499460810e-01
7.560784313725489980e+00,9.908074523664180955e-01
7.592156862745097712e+00,9.908882527710455301e-01
7.623529411764705443e+00,9.909679494581993264e-01
7.654901960784313175e+00,9.910465633020052456e-01
7.686274509803921795e+00,9.911241146715388250e-01
7.717647058823529527e+00,9.912006234453283327e-01
7.749019607843137258e+00,9.912761090255416407e-01
7.780392156862744990e+00,9.913505903516642848e-01
7.811764705882352722e+00,9.914240859136461692e-01
7.843137254901960453e+00,9.914966137647915900e-01
7.874509803921568185e+00,9.915681915341072461e-01
7.905882352941176805e+00,9.916388364382354714e-01
7.937254901960784537e+00,9.917085652931564299e-01
7.968627450980392268e+00,9.917773945253277601e-01
8.000000000000000000e+00,9.918453401825991778e-01
